climate,policy,metric,country,delta_median,delta_lo,delta_hi,cost_median,per_dollar_median,per_dollar_lo,per_dollar_hi,share_finite
ssp245,both,cv_pct,Nigeria,1.238332783045877,1.1695125604359662,1.299013328242364,4.022350311279297,0.30786298736174195,0.2907535321218718,0.3229488303392492,1.0
ssp245,both,cv_pct,Tanzania,-0.41171250449102126,-0.9592543062957875,35.845133480938955,0.6917673349380493,-0.5951603721327661,-1.3866718734004588,51.816747727975674,1.0
ssp245,both,cv_pct,Uganda,3.0906486875243497,2.7650139180799465,3.2962614287034313,2.1309547424316406,1.4503586706856095,1.2975469929149122,1.5468472244239475,1.0
ssp245,both,ce_rho2.5,Ethiopia,2.4681081771850586,2.455718994140625,2.479551315307617,0.9719924926757812,2.5392255555293914,2.5264793839922763,2.5509984223043776,1.0
ssp245,both,ce_rho2.5,Malawi,2.588156223297119,2.581724166870117,2.5944032669067383,0.6423821449279785,4.028997760495496,4.0189849410580525,4.038722569410165,1.0
ssp245,both,ce_rho2.5,Mali,11.309581756591797,11.13836669921875,11.470779418945312,3.9380764961242676,2.871854258728172,2.828377435070341,2.912787354495144,1.0
ssp245,both,ce_rho2.5,Nigeria,12.313148498535156,12.267326354980469,12.356853485107422,4.022350311279297,3.061182529032136,3.04979064617544,3.072048063654943,1.0
ssp245,both,ce_rho2.5,Tanzania,4.214046001434326,4.200610160827637,4.228395462036133,0.6917673349380493,6.091710013760206,6.072287528875325,6.11245320280236,1.0
ssp245,both,ce_rho2.5,Uganda,3.282127857208252,3.2753591537475586,3.2899580001831055,2.1309547424316406,1.5402147177762222,1.537038346487844,1.5438891942064061,1.0
ssp585,transfer,exp_income,Ethiopia,-0.2033843994140625,-0.244140625,-0.16048431396484375,1.9856468439102173,-0.1024272770547403,-0.12295269209061782,-0.08082218369144205,1.0
ssp585,transfer,exp_income,Malawi,1.1770172119140625,1.1175613403320312,1.232879638671875,1.9123499393463135,0.6154821289226986,0.5843916520393962,0.6446935329698614,1.0
ssp585,transfer,exp_income,Mali,7.1091156005859375,6.91998291015625,7.3390045166015625,12.995691299438477,0.5470363551104904,0.5324828630282448,0.5647259809040455,1.0
ssp585,transfer,exp_income,Nigeria,1.6288299560546875,1.4962615966796875,1.8266754150390625,10.273679733276367,0.15854396850418845,0.14564028035965615,0.1778014754657453,1.0
ssp585,transfer,exp_income,Tanzania,1.3952598571777344,1.3182144165039062,1.4636459350585938,2.602651596069336,0.5360916763830129,0.5064890047114813,0.5623672170601207,1.0
ssp585,transfer,exp_income,Uganda,1.464822769165039,1.445098876953125,1.481353759765625,2.545980930328369,0.5753471095229739,0.5676000396305964,0.5818400845502667,1.0
