climate,policy,country,metric,median,hpdi_lo,hpdi_hi,n_draws,share_finite
ssp245,insurance,Ethiopia,logsum,1.7317147850990295,1.658663034439087,1.8123048543930054,200.0,1.0
ssp245,insurance,Ethiopia,p_below_theta,0.1639930084347725,0.16329878568649292,0.16462703049182892,200.0,1.0
ssp245,insurance,Ethiopia,payout,1.3580083847045898,1.3580083847045898,1.3580083847045898,200.0,1.0
ssp245,insurance,Ethiopia,premium,1.6296101808547974,1.6296101808547974,1.6296101808547974,200.0,1.0
ssp245,insurance,Ethiopia,switch_share,0.11765479668974876,0.11603384464979172,0.1195603758096695,200.0,1.0
ssp245,insurance,Malawi,ce_rho1.5,26.572318077087402,26.444440841674805,26.70804786682129,200.0,1.0
ssp245,insurance,Malawi,ce_rho2.5,16.32537841796875,16.2507381439209,16.40961265563965,200.0,1.0
ssp245,insurance,Malawi,ce_rho3.5,10.357107162475586,10.30738353729248,10.410743713378906,200.0,1.0
ssp245,insurance,Malawi,cost,0.19489488005638123,0.19489488005638123,0.19489488005638123,200.0,1.0
ssp245,insurance,Malawi,cost_behav,0.8703576028347015,0.8631668090820312,0.8761417269706726,200.0,1.0
ssp245,insurance,Malawi,cv_log,,,,200.0,0.0
ssp245,insurance,Malawi,cv_pct,,,,200.0,0.0
ssp245,insurance,Malawi,exp_income,56.90452003479004,56.63547897338867,57.209774017333984,200.0,1.0
ssp245,insurance,Malawi,exp_median,34.63498306274414,34.478187561035156,34.82956314086914,200.0,1.0
ssp245,insurance,Malawi,exp_shortfall,0.0024912443477660418,0.002469994593411684,0.0025249430909752846,200.0,1.0
ssp245,insurance,Malawi,logsum,-3.9545470476150513,-4.308326244354248,-3.558112621307373,200.0,1.0
ssp245,insurance,Malawi,p_below_theta,0.05305051803588867,0.052814628928899765,0.05335530638694763,200.0,1.0
ssp245,insurance,Malawi,payout,0.9744743704795837,0.9744743704795837,0.9744743704795837,200.0,1.0
ssp245,insurance,Malawi,premium,1.1693693399429321,1.1693693399429321,1.1693693399429321,200.0,1.0
ssp245,insurance,Malawi,switch_share,0.05780018866062164,0.05336201936006546,0.061771903187036514,200.0,1.0
ssp245,insurance,Mali,ce_rho1.5,122.94886779785156,122.32427978515625,123.50897979736328,200.0,1.0
ssp245,insurance,Mali,ce_rho2.5,93.21078109741211,92.88115692138672,93.66056060791016,200.0,1.0
ssp245,insurance,Mali,ce_rho3.5,72.44977569580078,72.18141174316406,72.71210479736328,200.0,1.0
ssp245,insurance,Mali,cost,1.2331937551498413,1.2331937551498413,1.2331937551498413,200.0,1.0
ssp245,insurance,Mali,cost_behav,10.943272113800049,10.881937980651855,11.00771427154541,200.0,1.0
ssp245,insurance,Mali,cv_log,0.4462023079395294,0.4010418653488159,0.4960394501686096,200.0,1.0
ssp245,insurance,Mali,cv_pct,0.5623675286769867,0.4933798015117645,0.6422043442726135,200.0,1.0
ssp245,insurance,Mali,exp_income,182.74527740478516,181.87525939941406,183.81532287597656,200.0,1.0
ssp245,insurance,Mali,exp_median,142.66961669921875,142.01480102539062,143.5031280517578,200.0,1.0
ssp245,insurance,Mali,exp_shortfall,0.008843270596116781,0.008770449087023735,0.008905674330890179,200.0,1.0
ssp245,insurance,Mali,logsum,5.136035203933716,4.788349628448486,5.45684289932251,200.0,1.0
ssp245,insurance,Mali,p_below_theta,0.031337033957242966,0.0310787595808506,0.03156174719333649,200.0,1.0
ssp245,insurance,Mali,payout,6.165968418121338,6.165968418121338,6.165968418121338,200.0,1.0
ssp245,insurance,Mali,premium,7.399162292480469,7.399162292480469,7.399162292480469,200.0,1.0
ssp245,insurance,Mali,switch_share,0.13913119584321976,0.1350942701101303,0.14318056404590607,200.0,1.0
ssp245,insurance,Nigeria,ce_rho1.5,92.99298477172852,92.83600616455078,93.15440368652344,200.0,1.0
ssp245,insurance,Nigeria,ce_rho2.5,60.03890037536621,59.95306396484375,60.110862731933594,200.0,1.0
ssp245,insurance,Nigeria,ce_rho3.5,41.32821083068848,41.267520904541016,41.38368225097656,200.0,1.0
ssp245,insurance,Nigeria,cost,1.1772692203521729,1.1772692203521729,1.1772692203521729,200.0,1.0
ssp245,insurance,Nigeria,cost_behav,7.433715343475342,7.407497882843018,7.453754901885986,200.0,1.0
ssp245,insurance,Nigeria,cv_log,0.4020601063966751,0.38299360871315,0.42018768191337585,200.0,1.0
ssp245,insurance,Nigeria,cv_pct,0.49490126967430115,0.46666866540908813,0.5222472548484802,200.0,1.0
ssp245,insurance,Nigeria,exp_income,181.79923248291016,181.34255981445312,182.34237670898438,200.0,1.0
ssp245,insurance,Nigeria,exp_median,119.16806030273438,118.86479187011719,119.36426544189453,200.0,1.0
ssp245,insurance,Nigeria,exp_shortfall,0.04004850797355175,0.03989714756608009,0.04024675115942955,200.0,1.0
ssp245,insurance,Nigeria,logsum,6.074707269668579,5.857380390167236,6.269631862640381,200.0,1.0
ssp245,insurance,Nigeria,p_below_theta,0.07738665863871574,0.07715083658695221,0.07763821631669998,200.0,1.0
ssp245,insurance,Nigeria,payout,5.886345863342285,5.886345863342285,5.886345863342285,200.0,1.0
ssp245,insurance,Nigeria,premium,7.063615322113037,7.063615322113037,7.063615322113037,200.0,1.0
ssp245,insurance,Nigeria,switch_share,0.14911583811044693,0.14655092358589172,0.15195238590240479,200.0,1.0
ssp245,insurance,Tanzania,ce_rho1.5,26.04019546508789,25.946823120117188,26.178129196166992,200.0,1.0
ssp245,insurance,Tanzania,ce_rho2.5,12.83575963973999,12.778299331665039,12.881592750549316,200.0,1.0
ssp245,insurance,Tanzania,ce_rho3.5,6.836763858795166,6.805160045623779,6.86515474319458,200.0,1.0
