climate,policy,country,crop,delta_share_median,delta_lo,delta_hi,base_share_median
baseline,safety_net,Malawi,sorghum_millet,0.011194726219400764,0.009595566894859076,0.012746269349008799,0.015398052288219333
baseline,safety_net,Malawi,teff,0.0,0.0,0.0,0.0
baseline,safety_net,Malawi,other,-0.013388906139880419,-0.014386527240276337,-0.012486816383898258,0.06759434193372726
baseline,safety_net,Malawi,rice,-0.00032700225710868835,-0.00042829837184399366,-0.0002218039589934051,0.0016708573675714433
baseline,safety_net,Malawi,wheat_barley,0.0,0.0,0.0,0.0
baseline,safety_net,Mali,maize,-0.002728545106947422,-0.004357967525720596,-0.0014567486941814423,0.15205582976341248
baseline,safety_net,Mali,tree_crops,-0.03421808697748929,-0.03631914034485817,-0.032832873752340674,0.18448114464990795
baseline,safety_net,Mali,tubers,-0.0013069203996565193,-0.0015310670714825392,-0.001005267957225442,0.006133521150331944
baseline,safety_net,Mali,legumes,0.03263007220812142,0.029319634661078453,0.03563350369222462,0.050885338918305933
baseline,safety_net,Mali,sorghum_millet,0.055122945457696915,0.05262356996536255,0.05820639431476593,0.4340849369764328
baseline,safety_net,Mali,teff,0.0,0.0,0.0,0.0
baseline,safety_net,Mali,other,-0.01368167856708169,-0.014478815719485283,-0.012656640261411667,0.05913722142577171
baseline,safety_net,Mali,rice,-0.03575117792934179,-0.03700793720781803,-0.034507930278778076,0.11286686919629574
baseline,safety_net,Mali,wheat_barley,0.0,0.0,0.0,0.0
baseline,safety_net,Nigeria,maize,0.04388391226530075,0.04281071946024895,0.04511341452598572,0.16255632415413857
baseline,safety_net,Nigeria,tree_crops,-0.01217243290739134,-0.012675706413574517,-0.011590171721763909,0.04676481056958437
baseline,safety_net,Nigeria,tubers,-0.11466262210160494,-0.11642871983349323,-0.11327145621180534,0.3071940317749977
baseline,safety_net,Nigeria,legumes,0.017864667810499668,0.016994547098875046,0.01871519163250923,0.13231385126709938
baseline,safety_net,Nigeria,sorghum_millet,0.08041912317276001,0.07876323163509369,0.08178304880857468,0.2525235004723072
baseline,safety_net,Nigeria,teff,0.0,0.0,0.0,0.0
baseline,safety_net,Nigeria,other,-0.0013274201191961765,-0.0017158305272459984,-0.0008964277803897858,0.05310905305668712
baseline,safety_net,Nigeria,rice,-0.013832247350364923,-0.014440641738474369,-0.013302191160619259,0.04558158293366432
baseline,safety_net,Nigeria,wheat_barley,1.8886079487856477e-05,8.902919944375753e-06,2.9471906600520015e-05,0.00016407448129029945
baseline,safety_net,Tanzania,maize,0.05358641967177391,0.05183194577693939,0.05563396215438843,0.29091310128569603
baseline,safety_net,Tanzania,tree_crops,-0.013456590182613581,-0.014304073643870652,-0.012774665257893503,0.053043418331071734
baseline,safety_net,Tanzania,tubers,-0.0016869392711669207,-0.002276935148984194,-0.0011526407906785607,0.10385755798779428
baseline,safety_net,Tanzania,legumes,0.03716594888828695,0.03529881429858506,0.03906522854231298,0.09253345604520291
baseline,safety_net,Tanzania,sorghum_millet,0.015632743015885353,0.014215941075235605,0.01740940473973751,0.025377202546223998
baseline,safety_net,Tanzania,teff,0.0,0.0,0.0,0.0
baseline,safety_net,Tanzania,other,-0.08006325177848339,-0.08284058328717947,-0.07715971767902374,0.37787464912980795
baseline,safety_net,Tanzania,rice,-0.011366407852619886,-0.012382404878735542,-0.010628636926412582,0.055247485637664795
baseline,safety_net,Tanzania,wheat_barley,0.00024681934155523777,0.00015491177327930927,0.0003370388876646757,0.0013386090286076069
baseline,safety_net,Uganda,maize,0.006596265360713005,0.006296403706073761,0.006889663636684418,0.12411375343799591
baseline,safety_net,Uganda,tree_crops,-0.07347235339693725,-0.07448523817583919,-0.07258184044621885,0.35854902560822666
baseline,safety_net,Uganda,tubers,0.028579217207152396,0.028107205173000693,0.029134538141079247,0.18371026747627184
baseline,safety_net,Uganda,legumes,0.03176367224659771,0.03115392616018653,0.0323704038746655,0.2239737471099943
baseline,safety_net,Uganda,sorghum_millet,0.018881316296756268,0.018297008238732815,0.019438486546278,0.04888562299311161
baseline,safety_net,Uganda,teff,0.0,0.0,0.0,0.0
baseline,safety_net,Uganda,other,-0.011072002816945314,-0.01138432277366519,-0.010711597977206111,0.052016420755535364
baseline,safety_net,Uganda,rice,-0.0013197112130001187,-0.001404251903295517,-0.0012162972707301378,0.008711627568118274
baseline,safety_net,Uganda,wheat_barley,0.0,0.0,0.0,0.0
baseline,transfer,Ethiopia,maize,0.015365881845355034,0.015026714652776718,0.015679005533456802,0.1280706413090229
baseline,transfer,Ethiopia,tree_crops,-0.04607682395726442,-0.046671947464346886,-0.045475155115127563,0.333287063986063
baseline,transfer,Ethiopia,tubers,-0.006511190673336387,-0.006677029421553016,-0.006337321829050779,0.06516734918113798
baseline,transfer,Ethiopia,legumes,0.009524408727884293,0.009278547950088978,0.009763496927917004,0.08825611649081111
baseline,transfer,Ethiopia,sorghum_millet,0.015837300568819046,0.015475235879421234,0.0161827951669693,0.1144692674279213
baseline,transfer,Ethiopia,teff,0.00042833760380744934,0.0002160724252462387,0.0006255190819501877,0.07900177966803312
baseline,transfer,Ethiopia,other,0.0015560057945549488,0.0013910168781876564,0.00173240527510643,0.09550956659950316
baseline,transfer,Ethiopia,rice,-0.00011824464309029281,-0.0001329875667579472,-0.00010169076267629862,0.0023708831577096134
baseline,transfer,Ethiopia,wheat_barley,0.0100087970495224,0.009714549407362938,0.010214738547801971,0.09380923304706812
baseline,transfer,Malawi,maize,-0.009811297059059143,-0.010701388120651245,-0.009187087416648865,0.6459575667977333
baseline,transfer,Malawi,tree_crops,-0.0012849383056163788,-0.0014676004648208618,-0.0010576918721199036,0.07890075817704201
baseline,transfer,Malawi,tubers,-0.00030587619403377175,-0.000352680217474699,-0.00026768259704113007,0.019391698064282537
baseline,transfer,Malawi,legumes,0.014530466869473457,0.013510633260011673,0.015549270436167717,0.17109413258731365
baseline,transfer,Malawi,sorghum_millet,0.0026872463058680296,0.002332561183720827,0.003032650798559189,0.015398052288219333
baseline,transfer,Malawi,teff,0.0,0.0,0.0,0.0
baseline,transfer,Malawi,other,-0.005805828142911196,-0.006289547309279442,-0.005342371761798859,0.06759434193372726
baseline,transfer,Malawi,rice,-4.780018934980035e-05,-6.34987372905016e-05,-2.9561691917479038e-05,0.0016708573675714433
