country,action,pred_median,pred_lo,pred_hi,obs_share,label,abs_diff
Malawi,10,0.08372091501951218,0.08117374032735825,0.0875672921538353,0.0841646600160532,legumes_medium,0.00044374499654102617
Malawi,11,0.02087285742163658,0.018990032374858856,0.022396868094801903,0.02081183350533196,legumes_high,6.102391630462278e-05
Malawi,12,0.005107914097607136,0.0043347785249352455,0.006034203805029392,0.005102625845659901,sorghum_millet_low,5.2882519472347705e-06
Malawi,13,0.005114879691973329,0.004289385862648487,0.005864091217517853,0.005159958720330237,sorghum_millet_medium,4.507902835690879e-05
Malawi,14,0.005110325990244746,0.004383361432701349,0.005990802776068449,0.005102625845659901,sorghum_millet_high,7.700144584845206e-06
Malawi,15,0.0,0.0,0.0,0.0,teff_low,0.0
Malawi,16,0.0,0.0,0.0,0.0,teff_medium,0.0
Malawi,17,0.0,0.0,0.0,0.0,teff_high,0.0
Malawi,18,0.012620786670595407,0.010971158742904663,0.013657965697348118,0.012555899552803578,other_low,6.488711779182969e-05
Malawi,19,0.028980002738535404,0.026927869766950607,0.03088061325252056,0.02889576883384933,other_medium,8.423390468607558e-05
Malawi,20,0.025845528580248356,0.024229006841778755,0.027753274887800217,0.025742460726980852,other_high,0.00010306785326750362
Malawi,21,0.0,0.0,0.0,0.0,rice_low,0.0
Malawi,22,0.0016708573675714433,0.0011893522460013628,0.0022319520357996225,0.0016626533654397432,rice_medium,8.204002131700135e-06
Malawi,23,0.0,0.0,0.0,0.0,rice_high,0.0
Malawi,24,0.0,0.0,0.0,0.0,wheat_barley_low,0.0
Malawi,25,0.0,0.0,0.0,0.0,wheat_barley_medium,0.0
Malawi,26,0.0,0.0,0.0,0.0,wheat_barley_high,0.0
Mali,0,0.05067209340631962,0.04764559119939804,0.053002119064331055,0.0508184866215239,maize_low,0.00014639321520427961
Mali,1,0.05069139413535595,0.04754646494984627,0.05323585867881775,0.0508184866215239,maize_medium,0.00012709248616794844
Mali,2,0.05091060884296894,0.047608014196157455,0.05294888839125633,0.0508184866215239,maize_high,9.21222214450429e-05
