country,metric,param,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,n_ok
Ethiopia,pdr_insurance,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_insurance,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_insurance,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_insurance,trigger,0.13502295315265656,0.009218592196702957,0.27377456426620483,0.5788307189941406,0.4470905661582947,0.7391898036003113,128
Ethiopia,pdr_insurance,basis,-0.0045402473770082,-0.08460334688425064,0.07824200391769409,0.16145971417427063,0.09992488473653793,0.21594196557998657,128
Ethiopia,pdr_insurance,loading,0.005306566134095192,-0.05271222069859505,0.07170167565345764,0.06162884831428528,0.024318614974617958,0.11325192451477051,128
Ethiopia,pdr_insurance,theta,0.38393130898475647,0.20723076164722443,0.5510694980621338,0.6212798357009888,0.4826498031616211,0.7726902365684509,128
Ethiopia,switch_both,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_both,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_both,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_both,f_both,0.40098780393600464,-0.6221612691879272,1.7096832990646362,0.4107247591018677,0.30449485778808594,0.5203357338905334,128
Ethiopia,switch_both,trigger,0.5448312759399414,-0.6608447432518005,1.650714635848999,0.518860399723053,0.42396605014801025,0.6261370182037354,128
Ethiopia,switch_both,basis,0.03693459928035736,-0.4951038956642151,0.7198635935783386,0.13601601123809814,0.10078459233045578,0.18172195553779602,128
Ethiopia,switch_both,loading,-0.007132967934012413,-0.13268139958381653,0.12265274673700333,0.0064384895376861095,0.004731311462819576,0.008640934713184834,128
Ethiopia,switch_both,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_both,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_both,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_both,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_both,f_both,0.26161089539527893,0.0732436403632164,0.4813399016857147,0.5852128863334656,0.42879602313041687,0.7170629501342773,128
Ethiopia,d_pbelow_both,trigger,0.3056440055370331,0.09317541867494583,0.5303482413291931,0.5845414400100708,0.4262757897377014,0.7358583807945251,128
Ethiopia,d_pbelow_both,basis,0.04282798245549202,-0.09474427998065948,0.17094174027442932,0.18231657147407532,0.11612721532583237,0.2722739279270172,128
Ethiopia,d_pbelow_both,loading,0.07910030335187912,0.004216281697154045,0.18161679804325104,0.05910377949476242,0.016541989520192146,0.1248842403292656,128
Ethiopia,d_pbelow_both,theta,0.1845775842666626,-0.03195718303322792,0.38622215390205383,0.5093631744384766,0.3720545172691345,0.6243991851806641,128
Ethiopia,d_expinc_both,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_both,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_both,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_both,f_both,0.035151753574609756,-0.2936510145664215,0.3096746504306793,0.07059390097856522,0.05020947754383087,0.09010609984397888,128
Ethiopia,d_expinc_both,trigger,0.8753388524055481,0.05976013466715813,1.890284776687622,0.8856616020202637,0.7366019487380981,1.0307058095932007,128
Ethiopia,d_expinc_both,basis,0.07121391594409943,-0.33694973587989807,0.4814753234386444,0.15219378471374512,0.11122425645589828,0.2052410989999771,128
Ethiopia,d_expinc_both,loading,0.030950548127293587,-0.052879367023706436,0.13925430178642273,0.009056498296558857,0.005392493214458227,0.0135039696469903,128
Ethiopia,d_expinc_both,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_both,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_both,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_both,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_both,f_both,0.2104451209306717,0.027673594653606415,0.3961324393749237,0.6633040308952332,0.41810280084609985,0.9509661197662354,128
Ethiopia,pd_both,trigger,0.2403673529624939,0.02750822715461254,0.4702017903327942,0.7180116176605225,0.4695809781551361,1.0292128324508667,128
Ethiopia,pd_both,basis,0.03713918849825859,-0.05538026615977287,0.1450786143541336,0.37894749641418457,0.14967253804206848,0.7305037975311279,128
Ethiopia,pd_both,loading,0.13103045523166656,0.013476281426846981,0.2825021743774414,0.24259179830551147,0.14232516288757324,0.369846373796463,128
Ethiopia,pd_both,theta,0.3505268394947052,0.14615841209888458,0.6227487325668335,0.7233490347862244,0.46425265073776245,1.0637998580932617,128
Ethiopia,pdr_both,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_both,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_both,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_both,f_both,0.222006157040596,0.019942158833146095,0.42404019832611084,0.557959794998169,0.42501312494277954,0.7174272537231445,128
Ethiopia,pdr_both,trigger,0.113249272108078,-0.10691804438829422,0.3079923689365387,0.6161040663719177,0.4554824233055115,0.7755369544029236,128
Ethiopia,pdr_both,basis,0.03465239331126213,-0.04702688008546829,0.11193551868200302,0.14287203550338745,0.08783549815416336,0.21371254324913025,128
Ethiopia,pdr_both,loading,0.07645406574010849,-0.0024574261624366045,0.172544464468956,0.06492532789707184,0.004112089518457651,0.14041143655776978,128
Ethiopia,pdr_both,theta,0.26805180311203003,0.03247580677270889,0.5053157210350037,0.6369070410728455,0.45363855361938477,0.8412677645683289,128
Ethiopia,headline_ratio,t,1.0124880075454712,0.31299832463264465,1.5622732639312744,1.0704665184020996,0.9415127635002136,1.1891160011291504,128
Ethiopia,headline_ratio,lam,0.06718579679727554,-0.07488465309143066,0.23240207135677338,0.13586604595184326,0.08827093243598938,0.20571820437908173,128
Ethiopia,headline_ratio,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,headline_ratio,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,headline_ratio,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,headline_ratio,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,headline_ratio,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,headline_ratio,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,sn_better,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,sn_better,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,sn_better,f,0.0,-0.27494083280674453,0.2988979720445815,0.6976744186046512,0.5608834586466165,0.8771929824561403,128
Ethiopia,sn_better,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,sn_better,trigger,0.10465116279069767,-0.10947252747252748,0.2883081487352833,0.3488372093023256,0.24505448190789472,0.45856046569709363,128
Ethiopia,sn_better,basis,-0.03488372093023256,-0.232476200479119,0.1387905173600072,0.2441860465116279,0.15441028056247055,0.3509933991956635,128
Ethiopia,sn_better,loading,-0.03488372093023256,-0.10533412017403351,0.0,0.06976744186046512,0.03299939278349423,0.13399728831829416,128
Ethiopia,sn_better,theta,0.06976744186046512,-0.2121813926046412,0.3161652327935221,0.5930232558139534,0.46799452959213433,0.7368029115341544,128
Ethiopia,pbelow_none,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pbelow_none,theta,0.8065113425254822,-0.4194432199001312,2.0352532863616943,0.8065159916877747,0.6810011863708496,0.9733219742774963,128
Malawi,switch_transfer,t,0.9930620193481445,0.5515041351318359,1.486445665359497,0.9930552840232849,0.8680745363235474,1.1217677593231201,128
Malawi,switch_transfer,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_transfer,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_transfer,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_transfer,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_transfer,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_transfer,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_transfer,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,t,0.9438478946685791,0.5590749979019165,1.2884118556976318,0.9293104410171509,0.7782037258148193,1.0882447957992554,128
Malawi,d_pbelow_transfer,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_transfer,theta,0.06014464050531387,-0.036375973373651505,0.14819428324699402,0.06785179674625397,0.048900604248046875,0.08993306010961533,128
Malawi,d_expinc_transfer,t,0.9933837652206421,0.6223996877670288,1.4305897951126099,0.9933875799179077,0.8737460970878601,1.1551389694213867,128
Malawi,d_expinc_transfer,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_transfer,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_transfer,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_transfer,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_transfer,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_transfer,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_transfer,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,lam,0.9938627481460571,0.03557540103793144,1.8722420930862427,0.9945887923240662,0.8543117046356201,1.1427608728408813,128
Malawi,switch_contraction,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_contraction,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_contraction,t,0.0,0.0,0.0,0.0,0.0,0.0,128
