action,label,crop,intensity,observed,predicted,diff,obs_Ethiopia,pred_Ethiopia,obs_Malawi,pred_Malawi,obs_Mali,pred_Mali,obs_Nigeria,pred_Nigeria,obs_Tanzania,pred_Tanzania,obs_Uganda,pred_Uganda
13,sorghum_millet_medium,sorghum_millet,medium,0.043635118884079574,0.04363285170448571,2.2671795938608574e-06,0.03815634936549314,0.03819624461253004,0.005159958720330237,0.005204858212679266,0.14482939977647755,0.1446768201676279,0.08415111131929644,0.08397836675510195,0.008468052347959968,0.008555065908057562,0.016254834894351564,0.0163248620178554
14,sorghum_millet_high,sorghum_millet,high,0.04362160677046972,0.04369410511948388,7.249834901415508e-05,0.038113380503595064,0.0381122191974646,0.005102625845659901,0.005064415338719978,0.1447636578791664,0.1450315551106687,0.08417453216853643,0.08435669959970113,0.008538036251662117,0.00861995839586998,0.016254834894351564,0.01631589482404654
15,teff_low,teff,low,0.008291933718578707,0.008300259133076478,8.325414497771175e-06,0.026368558251453778,0.026395033279427067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,teff_medium,teff,medium,0.008287429680708756,0.008281952344881938,5.477335826818003e-06,0.026354235297487753,0.026336817231483605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,teff_high,teff,high,0.008291933718578707,0.008274359909960099,1.757380861860773e-05,0.026368558251453778,0.02631267309703903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,other_low,other,low,0.036401634064939216,0.03641346109114937,1.1827026210151081e-05,0.04255349623306311,0.04261255700779937,0.012555899552803578,0.012527964557680744,0.016698441917033725,0.01665083192215508,0.013958826147036092,0.013956793317985697,0.1762894534257121,0.17642168911252354,0.02434229453696896,0.024308907145409224
19,other_medium,other,medium,0.043635118884079574,0.04365410821429099,1.8989330211417743e-05,0.0484545532670658,0.04850382883555787,0.02889576883384933,0.028844095979816686,0.026954177897574125,0.02712463198521014,0.028667119469751975,0.028685872370499698,0.1874168941143537,0.18734314266098628,0.023798868394974908,0.023788277804683462
20,other_high,other,high,0.008404534665327467,0.008405324628043548,7.899627160815048e-07,0.004411469821535993,0.0043971484307115186,0.025742460726980852,0.025754325835310517,0.015383603970810598,0.015255275076912163,0.01028175281635712,0.010319602398386075,0.01406676464413185,0.014054874965102626,0.0037560336284883163,0.0037795954410070566
21,rice_low,rice,low,0.007760457249924558,0.007794303153306095,3.384590338153734e-05,0.0007877624681314274,0.0007860664776982731,0.0,0.0,0.037670107159292615,0.03794738065875574,0.015153289458275756,0.015184162786940581,0.018545734481069356,0.01866336391555842,0.0029249112936738804,0.0029315661375632508
22,rice_medium,rice,medium,0.00789557838602307,0.007876190650933187,1.9387735089882244e-05,0.0007734395141654015,0.0007908620268014235,0.0016626533654397432,0.001704131831232299,0.03773584905660377,0.03746285177991483,0.01517671030751575,0.015106096027626121,0.018475750577367205,0.018481410269256728,0.002940894415497235,0.002954357201215483
23,rice_high,rice,high,0.007728928984834904,0.007732675323251295,3.7463384163910485e-06,0.0007877624681314274,0.0007853500235885972,0.0,0.0,0.037670107159292615,0.037774629682274956,0.015129868609035764,0.015148715513226831,0.018405766673665058,0.018278615299655833,0.002860978806380462,0.0028677312432503514
24,wheat_barley_low,wheat_barley,low,0.009836818707971696,0.009871446103020248,3.462739504855178e-05,0.031281331461800684,0.03139144745095627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,wheat_barley_medium,wheat_barley,medium,0.009958427730460358,0.009949427474547443,9.000255912914451e-06,0.031295654415766705,0.03124799212220676,0.0,0.0,0.0,0.0,0.00016394594467995408,0.00017809536549214148,0.0013296941703408217,0.0013804524020451174,0.0,0.0
26,wheat_barley_high,wheat_barley,high,0.009836818707971696,0.00980448089930349,3.233780866820565e-05,0.031281331461800684,0.0311784964150514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
